channel_id,channel_title,video_id,cluster_label,Labels,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,d8ob3mdgqBI,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.420903916,-1.952094888,3,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,kPzSrM_mlUQ,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.198749211,-2.269186677,3,1,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,24J7Cir0Dvo,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.177387997,1.704740557,1,2,1
UCHz35rvIKf2CMqj7oiMv9WQ,DecisionForest,lexSdX1XjYQ,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.909189965,-0.308397706,3,1,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,q1DWEkcFu38,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.309510929,1.547955129,1,2,1
UCUzGQrN-lyyc0BWTYoJM_Sg,What's AI by Louis-François Bouchard,RbSwB3u6zrs,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.286818487,1.657155341,1,2,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,wjX7NrslukE,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.233960986,0.694071845,1,2,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,jZGWOUNeiFY,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.355647346,-0.407496534,3,1,1
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,X7P2Yi-OU50,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.511359728,-1.13343743,3,1,1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,yz64p4uDBmI,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.194782257,1.161845536,1,2,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,EkFM8hBBZLw,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.599488319,1.477437233,1,2,1
UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology,TRVWp3c1Em8,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.46107125,0.391568403,3,1,1
UCmKaoNn0OvxVAe7f_8sXYNQ,Jovian,5K60zzEQ5vk,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.558067479,-0.807011484,1,1,1
UCAq9f7jFEA7Mtl3qOZy2h1A,Data with Zach,B1BngJDZPfw,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.827717405,-1.033714956,3,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,YsRDM6eoRq8,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.288017229,-3.053878635,3,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,90VmkzCs1Kw,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.095577252,-1.292331047,3,1,1
UCOQDdjPiHB1X6MJSPNdr1ng,Tech Stories in 2 Minutes,eGrZAxjcIhk,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.346399421,-0.962430622,3,1,1
UCOQDdjPiHB1X6MJSPNdr1ng,Tech Stories in 2 Minutes,eGrZAxjcIhk,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.346399421,-0.962430622,3,1,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,RaQf6cRyHBY,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.069522488,-0.026925217,1,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,7NhbUyHyBfo,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.917324373,-0.226487682,3,1,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,AtRMR2IKELM,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.712329377,1.48591465,1,2,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,AtRMR2IKELM,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.712329377,1.48591465,1,2,1
UCZf_9SblvM8iTTkouFEcHtA,Marina Wyss - AI & Machine Learning,QHystzb6iYo,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.138862165,-0.199863267,3,1,1
UCfsND7mZbiAbqZYjyT5V26g,INTTRVU,kDR-v7wps7o,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.507870677,1.543577323,1,2,1
UCzAF54cHk1ZO82af-8E3qOQ,CareerFoundry,3QV37pVP-CI,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.095978366,-2.695271984,3,1,-1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,xQc0e9OMd7s,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.210018753,-0.705726138,3,1,1
UCOQDdjPiHB1X6MJSPNdr1ng,Tech Stories in 2 Minutes,TzFjdjvUMTs,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.604765497,1.491066775,1,2,1
UCGPjzyzRdvg2RxfWVWOzsDA,Salary Transparent Street,rs2TT5d-onY,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.896183464,-1.469932338,3,1,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,qHsGPCgk6UY,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.049943214,0.555133284,1,2,1
UCa9gErQ9AE5jT2DZLjXBIdA,Shaw Talebi,y7xbHtFostg,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.335541976,-1.183725006,3,1,1
UCSuSMflMkn4yH9QA5vzsDyA,Anshul Sethi,PXj2ctBw3js,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-3.062114832,1.506171265,1,2,1
UCBEAb12YsBDcCtdfxNWzNHQ,The Street Wire,4rPOvlQv-10,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.600184925,-0.326489739,3,1,1
UCBEAb12YsBDcCtdfxNWzNHQ,The Street Wire,4rPOvlQv-10,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.600184925,-0.326489739,3,1,1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,oxx-EuXWP-Q,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.228621022,-1.014334967,3,1,1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,oxx-EuXWP-Q,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.228621022,-1.014334967,3,1,1
UCpbMQO3wyA-vfYiCiIGB8Iw,DataMites,6qx0yntKpd4,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-3.010266336,1.588916947,1,2,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,1upvLCpSLBM,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-3.131837657,1.436789454,1,2,-1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,6Fr-HAzyyzA,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.520124124,-0.490092955,3,1,1
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,9Ql_Lr7nQN4,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.90666869,-1.977648264,3,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,8beNeAvdWDE,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.874168222,-0.583745293,3,1,-1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,4mnzI59VlgU,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-3.02909189,1.319377495,1,2,1
UCgeOgQcMFGlWUuCe_xAGUeg,Career With Riwas ,LjcMTj2UeSg,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-3.296431184,1.367493043,1,2,1
UC2MYZHG8a56u4REI2RedtRA,KaaShiv InfoTech,,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-2.672905976,-1.325528718,3,1,-1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,AMfBqFcuuyk,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-3.289994156,-0.241803425,3,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,5x3hnmU-OSU,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-3.48695218,-1.379295852,3,1,-1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,5x3hnmU-OSU,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-3.48695218,-1.379295852,3,1,-1
